State,Customer Lifetime Value,Response,Coverage,Education,EmploymentStatus,Gender,Income,Location Code,Marital Status,Monthly Premium Auto,Months Since Last Claim,Months Since Policy Inception,Number of Open Complaints,Number of Policies,Policy Type,Policy,Renew Offer Type,Sales Channel,Total Claim Amount,Vehicle Class,Vehicle Size,Cluster
Washington,2763.519279,No,Basic,Bachelor,Employed,F,56274.0,Suburban,Married,69.0,32.0,5.0,0.0,1.0,Corporate Auto,Corporate L3,Offer1,Agent,384.811147,Two-Door Car,Medsize,3
Arizona,6979.535903,No,Extended,Bachelor,Unemployed,F,0.0,Suburban,Single,94.0,13.0,42.0,0.0,8.0,Personal Auto,Personal L3,Offer3,Agent,964.2628512499998,Four-Door Car,Medsize,1
Nevada,12887.43165,No,Premium,Bachelor,Employed,F,48767.0,Suburban,Married,108.0,18.0,38.0,0.0,2.0,Personal Auto,Personal L3,Offer1,Agent,566.472247,Two-Door Car,Medsize,3
California,7645.861826999999,No,Basic,Bachelor,Unemployed,M,0.0,Suburban,Married,106.0,18.0,65.0,0.0,7.0,Corporate Auto,Corporate L2,Offer1,Call Center,529.881344,SUV,Medsize,0
Washington,2813.692575,No,Basic,Bachelor,Employed,M,43836.0,Rural,Single,73.0,12.0,44.0,0.0,1.0,Personal Auto,Personal L1,Offer1,Agent,138.130879,Four-Door Car,Medsize,2
Oregon,8256.2978,Yes,Basic,Bachelor,Employed,F,62902.0,Rural,Married,69.0,14.0,94.0,0.0,2.0,Personal Auto,Personal L3,Offer2,Web,159.383042,Two-Door Car,Medsize,3
Oregon,5380.898636,Yes,Basic,College,Employed,F,55350.0,Suburban,Married,67.0,0.0,13.0,0.0,8.5,Corporate Auto,Corporate L3,Offer1,Agent,321.6,Four-Door Car,Medsize,1
Arizona,7216.100311,No,Premium,Master,Unemployed,M,0.0,Urban,Single,101.0,0.0,68.0,0.0,4.0,Corporate Auto,Corporate L3,Offer1,Agent,363.02968,Four-Door Car,Medsize,2
Oregon,16387.34622375,Yes,Basic,Bachelor,Medical Leave,M,14072.000000000002,Suburban,Divorced,71.0,13.0,3.0,0.0,2.0,Corporate Auto,Corporate L3,Offer1,Agent,511.2,Four-Door Car,Medsize,2
Oregon,7388.178085,No,Extended,College,Employed,F,28812.0,Urban,Married,93.0,17.0,7.000000000000001,0.0,8.0,Special Auto,Special L2,Offer2,Branch,425.527834,Four-Door Car,Medsize,1
